ID Producto,SKU,Nombre,Descripcion,Tamano Unidad,Medida Unidad,ID Presentación,Unidades por Paquete,Unidades por Presentación,Costo por Paquete,Costo Unitario,Moneda,ID Barcode,Codigo de Barras,Precio de Venta
248,LAT-LEC-LIQ-1-UND-F7C1,"Leche Liquida Latti Deslactosada Morada, 900 ml","Leche Liquida Latti Deslactosada Morada, 900 ml",900.00,ML,264,12,12,"48000,00",4083.33,COP,61,7700304084159,49500
249,LAT-LEC-LIQ-1-UND-2FFA,"Leche Liquida Latti Entera Roja, 900 ml","Leche Liquida Latti Entera Roja, 900 ml",900.00,ML,265,12,12,"45000,00",3750.00,COP,123,7700304379989,46000
250,BAS-MAY-1-UND-1AC8,"Mayonesa Bassi, 500 gr","Mayonesa Bassi, 500 gr",500.00,GR,266,24,24,"80000,00",10000.00,COP,47,7704269949430,84000
251,BAS-TOM-S-1-UND-7D3A,"Salsa de Tomate Bassi, 500 gr","Salsa de Tomate Bassi, 500 gr",500.00,GR,267,24,24,"90000,00",10000.00,COP,44,7704269982000,94000
252,TRI-TR-1-UND-0AA7,"Cubito Trifogon, 1 X 24","Cubito Trifogon, 1 X 24",24.00,UND,268,60,60,"145000,00",2416.67,COP,170,7702354955113,150000
253,REN-PAP-XR-1-UND-E57F,"Papel Rendy, 1 X 12","Papel Rendy, 1 X 12",12.00,UND,269,4,4,"60000,00",15500.00,COP,129,7700304309122,63000
254,CAP-PAS-COR-1-UND-0929,"Pasta Corta Capri Premium Dedal, 1 kg","Pasta Corta Capri Premium Dedal, 1 kg",1.00,KG,270,12,12,"21,66",1.84,USD,95,7591151042115,60000
255,CAP-PAS-LAR-1-UND-C24E,"Pasta Larga Capri Premium Vermicelli Fino, 1 kg","Pasta Larga Capri Premium Vermicelli Fino, 1 kg",1.00,KG,271,12,12,"20,00",,USD,222,7591151041033,56000
257,CRI-SAL-1-UND-FA9C,"Sal Cristal Marina (Colombiana), 1 kg","Sal Cristal Marina (Colombiana), 1 kg",1.00,KG,273,20,20,"30500,00",,COP,7,7707226418819,32000
258,ESM-SAL-1-UND-1F78,"Sal La Esmeralda, 1 kg","Sal La Esmeralda, 1 kg",1.00,KG,274,25,25,"26000,00",1040.00,COP,5,7593860000028,28000
259,MAR-SAR-1-UND-DCD2,"Sardina Marbonita Salsa de Tomate, 170 gr","Sardina Marbonita Salsa de Tomate, 170 gr",170.00,GR,275,24,24,"32000,00",1333.33,COP,70,7595122001927,34000
260,SUN-SU-1-UND-1D36,"Suntea Durazno, 1 x 12 ","Suntea Durazno, 1 x 12 ",12.00,UND,276,24,24,"325000,00",13541.67,COP,116,7702354955373,360000
268,DIM-ATU-ACE-1-UND-BE3C,"Atun Dimare Aceite, 160 gr","Atun Dimare Aceite, 160 gr",160.00,GR,284,48,48,"165000,00",1.00,COP,64,7599920000021,170000
